task,disease_label,rep,fold,view,SampleKey,y_true,n_cells,attn_entropy,attn_top1,attn_top5_sum,attn_eff_n
stage1_MIL_Control_vs_Bile,Bile,2,4,all,2026Apr_Control-20260401S8,0,85,3.0944360582848285,0.0959814807511588,0.388660998043608,17.956242567210733
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2024Dec_Bile-S2,1,101,3.1918549398833798,0.2362985505583728,0.5591334878336343,10.6671308829242
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2024Dec_Bile-S6,1,101,2.742426231776723,0.1477575656567195,0.565132855596386,11.58287600839934
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2024Dec_Control-S10,0,95,2.858230639259109,0.2765337772228801,0.6159471715071662,7.916923037065565
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2024Dec_Control-S6,0,98,3.488124939057624,0.1052241442630805,0.3397845279624759,23.420488280415807
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,20250430S11,1,60,2.8657295525668323,0.1497051006547199,0.5167631853857072,13.076080054853913
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,20250430S17,1,64,2.896137026138346,0.1530399193207177,0.5612483469405749,12.37848488004098
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,20250430S22,1,63,2.556968614470488,0.1710883312074413,0.6159975600810339,10.144009560565662
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,20250430S6,1,84,2.635043040802064,0.1946229545426387,0.6800911182210942,9.04011431727134
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2025Jan_Bile-B23,1,33,1.9754949068062988,0.3153482997893724,0.8395123173960577,4.748023953602243
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2025Jan_Bile-B27,1,37,2.473737479500354,0.2122454349941967,0.677625925854384,8.828693744567802
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2026Apr-2_Control-20260427S4,0,80,2.406248496493321,0.2023879304580696,0.7047840486037421,8.029858634696817
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2026Apr-2_Control-20260427S9,0,84,2.886843360061901,0.1180211651101814,0.528573542055703,13.489837633285813
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2026Apr_Control-20260401S3,0,77,2.122733687886224,0.3179710763623385,0.7855108230994591,4.766078233402435
stage1_MIL_Control_vs_Bile,Bile,2,4,fp,2026Apr_Control-20260401S8,0,85,3.04102344263563,0.1458315031588549,0.5283164807606869,13.279816976046783
stage1_MIL_Control_vs_Bile,Bile,2,4,ch,2024Dec_Bile-S2,1,101,3.246262863976494,0.0878344437645367,0.3709308731291267,19.648905405344752
stage1_MIL_Control_vs_Bile,Bile,2,4,ch,2024Dec_Bile-S6,1,101,3.128831853878813,0.1109232570875829,0.4899079502118634,15.377232863344013
stage1_MIL_Control_vs_Bile,Bile,2,4,ch,2024Dec_Control-S10,0,95,3.2877155692174624,0.1183925952680393,0.476472389692433,16.51981425749732
