task,disease_label,rep,fold,view,SampleKey,y_true,n_cells,attn_entropy,attn_top1,attn_top5_sum,attn_eff_n
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2026Apr_Control-20260401S1,0,59,3.5647612115949228,0.0632411384578939,0.3016242989764829,27.57522751996752
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2026Apr_Control-20260401S2,0,77,3.909070836670666,0.0530923634319999,0.1927969254506972,41.6383345826823
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2026Apr_Control-20260401S6,0,66,3.449290303415069,0.0888731957639731,0.4021104341754798,21.74073122298204
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2024Dec_Control-S10,0,95,3.241815575024355,0.1497891076309617,0.4981432707621642,14.368200137428234
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2024Dec_Control-S6,0,98,3.4720807970585783,0.0852566087174026,0.3608252208696842,22.71280179886098
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,20250430S40,1,93,2.857300215890926,0.2381615914500384,0.5922619754878903,8.628818870876875
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,20250430S42,1,97,3.4293778923629725,0.1106332521570202,0.4357739016309214,19.93001219651675
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,20250430S48,1,92,3.489850730167855,0.1344153960235922,0.3820186631360962,20.68412169029137
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2025Jan_Pancreas-B1,1,98,3.9235468985010495,0.0440819256982948,0.207119479335161,40.24940449804215
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2025Jan_Pancreas-B14,1,90,3.423184318837813,0.1197110831096747,0.4059457154156111,19.95034714542083
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2025Jan_Pancreas-B4,1,68,3.008021181618908,0.1778762451537774,0.5131527373781377,12.874340122115283
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2025Jan_Pancreas-B9,1,98,4.0645227749952,0.0412201935830934,0.1712940587090896,49.21360729396724
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2026Apr-2_Control-20260427S2,0,95,3.7121721904453264,0.0801080832301973,0.2918446043798443,29.099891642686792
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2026Apr-2_Control-20260427S8,0,90,4.13176534491871,0.0281654146781865,0.1366654824425512,54.54339980124825
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2026Apr_Control-20260401S1,0,59,3.2335450532922403,0.1602854862676029,0.4065000674743027,17.06039784030005
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2026Apr_Control-20260401S2,0,77,3.822492272067226,0.0471212445898963,0.2189136654809215,37.97130096526798
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,fp,2026Apr_Control-20260401S6,0,66,2.706394487598883,0.2534823126240504,0.6111406029282396,9.019833538328122
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2024Dec_Control-S10,0,95,3.371509096860077,0.0763040746097817,0.3500352527927508,22.82889174877811
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2024Dec_Control-S6,0,98,3.432385404005617,0.0789344142971309,0.3384541043591168,24.38632025534301
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,20250430S40,1,93,2.8853435010046824,0.2780593407855522,0.5915651064552099,8.586727451140304
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,20250430S42,1,97,3.18046088625988,0.1223885680871299,0.486667880077162,15.885563193053844
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,20250430S48,1,92,3.148323297487748,0.1335810109159104,0.4808381553050918,15.642516535380748
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2025Jan_Pancreas-B1,1,98,3.881898970043654,0.0418805107473717,0.2020485103127401,38.90096391613546
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2025Jan_Pancreas-B14,1,90,3.719564213314247,0.0525899238509179,0.2507373099690139,32.35037335208546
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2025Jan_Pancreas-B4,1,68,3.159822944485674,0.116406998965714,0.4436134809484477,17.13892465819697
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2025Jan_Pancreas-B9,1,98,4.185459423045147,0.0274812297879494,0.1317392224753066,57.67590387188313
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2026Apr-2_Control-20260427S2,0,95,3.3014355845261143,0.090356675440512,0.391026057110506,19.746883673833427
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2026Apr-2_Control-20260427S8,0,90,3.6156818479148143,0.0694416240899066,0.2927151848295199,28.87625639813229
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2026Apr_Control-20260401S1,0,59,2.7694398414736976,0.1494130246247667,0.5767803041394943,11.609854175773195
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2026Apr_Control-20260401S2,0,77,3.212100978413847,0.0963493724609215,0.3596558757092197,19.904843379436684
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,ch,2026Apr_Control-20260401S6,0,66,3.3256881984419486,0.0795995322445837,0.3381147221797085,22.79642239849138
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2024Dec_Control-S2,0,100,3.4543104786970265,0.0775623165302905,0.3464328316394297,22.165964917212158
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2024Dec_Control-S7,0,103,3.3875651163899745,0.0821935056630737,0.3371236495956882,22.535213022647845
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2024Dec_Control-S8,0,99,2.8000617707302986,0.3426663136119624,0.6260678990421831,6.855579609821444
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,20250430S44,1,77,3.734648740003344,0.0445798357169725,0.2154135016970714,35.89119601744062
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,20250430S46,1,84,3.3406989116088037,0.0844624947598614,0.3752038155266846,21.334657110156822
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2025Jan_Pancreas-B10,1,77,3.3705303886330995,0.087909400270649,0.3358902327813473,23.19701040276463
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2025Jan_Pancreas-B12,1,92,3.397697948642263,0.0781497035638598,0.3346282767351726,23.5349495580978
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2025Jan_Pancreas-B5,1,105,3.2316123920370488,0.0862226775346672,0.3708926177558737,20.03419508791957
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2025Jan_Pancreas-B7,1,93,3.33402360956856,0.1092408050699353,0.4124225787589981,19.64596732756243
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2026Apr-2_Control-20260427S3,0,93,3.6651876686767535,0.0521202540903621,0.2266660869344575,33.63577710476278
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2026Apr-2_Control-20260427S5,0,97,3.568666338498395,0.0637155756782678,0.2798907059929676,28.75125238561244
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2026Apr_Control-20260401S10,0,89,3.963155809744243,0.0390675207149431,0.1795625008469725,46.04512956784527
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2026Apr_Control-20260401S3,0,77,3.423604806697707,0.1059232847729481,0.3474574560588487,22.47568123918864
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,all,2026Apr_Control-20260401S7,0,90,3.6058765598899822,0.0732814904688045,0.2791931561470264,28.712811374899285
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2024Dec_Control-S2,0,100,3.025477435746132,0.1570395094916768,0.5434971644660047,13.057126804285044
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2024Dec_Control-S7,0,103,3.541291151366204,0.0920290761636075,0.3522056599099064,23.873780323917465
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2024Dec_Control-S8,0,99,3.3171560056384184,0.1235798715923048,0.3911501557194401,19.16778132095918
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,20250430S44,1,77,3.709509958514326,0.0582288877141267,0.2412785258419051,33.361737548192586
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,20250430S46,1,84,3.034397912632305,0.1149039402750166,0.4379378798991742,15.921661789020408
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2025Jan_Pancreas-B10,1,77,3.291980231222559,0.0925523469052617,0.3747823489983874,20.412797568599174
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2025Jan_Pancreas-B12,1,92,3.4690481920873477,0.1332685181186379,0.3957651120129775,20.44799049541485
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2025Jan_Pancreas-B5,1,105,3.512498031995896,0.0865211841173347,0.3511110097931654,23.788991158612216
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2025Jan_Pancreas-B7,1,93,2.8852793458591632,0.2121375499886305,0.6167753619352079,10.101334719395432
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2026Apr-2_Control-20260427S3,0,93,3.769519825842409,0.053084115626049,0.2300355623136016,35.44483231509723
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2026Apr-2_Control-20260427S5,0,97,4.066817796635155,0.0401844523254628,0.1735869518196111,49.53863924623327
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2026Apr_Control-20260401S10,0,89,3.567650892467308,0.070646213071852,0.2897860807379259,27.3938344768441
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2026Apr_Control-20260401S3,0,77,3.434252391169901,0.1015441889005906,0.3714492931360388,22.314276760804265
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,fp,2026Apr_Control-20260401S7,0,90,3.497544389106068,0.0697289673034016,0.3207728863449609,24.967824883078706
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2024Dec_Control-S2,0,100,3.1988826306838543,0.1636016804971671,0.4769121674626445,15.029894661387692
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2024Dec_Control-S7,0,103,3.383114349196737,0.0968417304644368,0.3650226268560549,21.919508991281305
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2024Dec_Control-S8,0,99,3.239732085484809,0.1551251739121481,0.4681002959703855,16.047402965769738
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,20250430S44,1,77,3.340725439365097,0.0920767069109272,0.3604589892838281,21.848152055115868
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,20250430S46,1,84,3.1124899910803308,0.0972315828885172,0.4195560138024503,17.338489389405325
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2025Jan_Pancreas-B10,1,77,3.864109100525974,0.0364987530513905,0.1772187805842897,41.47659386237281
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2025Jan_Pancreas-B12,1,92,3.970455011142428,0.0379529411141982,0.1786651583638298,45.42872240253397
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2025Jan_Pancreas-B5,1,105,4.01103154166041,0.0376958585105424,0.1811782935598061,45.83301611439607
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2025Jan_Pancreas-B7,1,93,4.003220166903841,0.0329074517721009,0.160228364670594,47.90888703607168
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2026Apr-2_Control-20260427S3,0,93,3.253331069793336,0.0790997929693452,0.3701642949058623,20.716283134877337
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2026Apr-2_Control-20260427S5,0,97,3.500036281223364,0.0786222522067805,0.3416630459352036,24.013779615309623
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2026Apr_Control-20260401S10,0,89,3.90990839954906,0.0503468945650175,0.2332344233355579,38.9160924462528
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2026Apr_Control-20260401S3,0,77,2.9872930844547545,0.1710174409025294,0.5187351413898741,13.012224808090975
stage1_MIL_Control_vs_Pancreas,Pancreas,2,3,ch,2026Apr_Control-20260401S7,0,90,3.089419515221945,0.1144761519700105,0.5047440239912423,15.402661846610586
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2024Dec_Control-S3,0,101,4.03513421148676,0.0547012232116307,0.2108656990180728,43.58344682283452
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2024Dec_Control-S5,0,99,3.207934969123777,0.1980379505489708,0.4800265477599848,13.694984423496551
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,20250430S41,1,96,3.4626490168050554,0.1133162641836939,0.4095555387030494,20.595650079935435
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,20250430S45,1,103,3.414064722209622,0.1094069728432842,0.3804136933456614,20.90598997958492
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,20250430S49,1,73,3.3462946705361243,0.0914618494113948,0.3612599490253924,21.359737243769025
stage1_MIL_Control_vs_Pancreas,Pancreas,2,4,all,2025Jan_Pancreas-B11,1,74,3.136710889410137,0.1402245088626512,0.4301173391567227,16.67118014887992
